sku,name,groupId,unitCost,sellingPrice,minStock,description,imageUrl,vendorCode,itemVendorCode,buyPrice,buyCurrency
APS602,60L W&D VACUUM [2 NEW MOTOR A],vacuum-cleaner,"1,618,400","2,265,760",2,packing Size: 595 X 520 X 1000mm; function: wet and dry; capacity: 60L; power: 2000W; voltage: 220V-240V/50/60Hz; tank diameter: 440mm; mode of cooling: circulating air cooling; air flow rate: 106L/S; vacuum suction: 250mbar; hose diameter: 40mm,,CB,CB60-2J,578,RMB
APS803,80L Wet & dry vacuum cleaner [3 NEW MOTOR A],vacuum-cleaner,"1,881,600","2,634,240",2,packing Size: 595 X 520 X 1105mm; function: wet and dry; capacity: 80L; power: 3000W; voltage: 220V-240V/50/60Hz; tank diameter: 440mm; mode of cooling: circulating air cooling; air flow rate: 106L/S; vacuum suction: 250mbar; hose diameter: 40mm,,CB,CB80-3J,672,RMB
APS903,90L Wet & dry vacuum cleaner  (Plastic tank)(220V 3000W) with Italy motor,vacuum-cleaner,"2,044,000","2,861,600",2,packing Size: 590 X 510 X 995mm; function: wet and dry; capacity: 90L; power: 3000W; voltage: 220V-240V/50/60Hz; tank diameter: 440mm; mode of cooling: circulating air cooling; air flow rate: 106L/S; vacuum suction: 250mbar; hose diameter: 40mm,,CB,CB90-3,730,RMB
BXC2A,Back Pack vacuum cleaner  yellowcable,vacuum-cleaner,"1,106,000","1,548,400",2,packing size: 340 X 340 X 520mm; vacuum suction: 180mbar; air flow: 42L/S; function: Dry; capacity: 3L; rated voltage: 220V~50/60Hz; rated power: 1000W; mode of cooling: circulating air cooling,,CB,BXC2A,395,RMB
SA15L,"15L Wet & Dry Vacuum Cleaner,  With double stage motor 1000W*1",vacuum-cleaner,"740,480","1,036,672",2,packing Size: 375 X321 X364mm; capacity: 15L; power: 1400W; voltage: 220V50Hz/60Hz; vacuum suction: 230mbar,,CB,SA15L,41.6,USD
SA30L,30L Wet & Dry Vacuum Cleaner  With double stage motor 1000W*1,vacuum-cleaner,"779,640","1,091,496",2,packing Size: 375 X321 X364mm; capacity: 30L; power: 1400W; voltage: 220V50Hz/60Hz; vacuum suction: 230mbar,,CB,SA30L,43.8,USD
SA60-2,60L Wet & Dry Vacuum Cleaner  With double stage motor 1000W*2,vacuum-cleaner,"1,335,000","1,869,000",2,,,CB,SA60-2,75,USD
SA80-3,80L Wet & Dry Vacuum Cleaner  With double stage motor 1000W*3,vacuum-cleaner,"1,708,800","2,392,320",2,,,CB,SA80-3,96,USD
3238W,WET/DRY VACUUM CLEANER,vacuum-cleaner,"4,592,400","6,429,360",2,,,JJIKAE,3238W,258,USD
3539W,WET/DRY VACUUM CLEANER,vacuum-cleaner,"3,577,800","5,008,920",2,,,JJIKAE,3539W,201,USD
3239W,WET/DRY VACUUM CLEANER,vacuum-cleaner,"4,005,000","5,607,000",2,,,JJIKAE,3239W,225,USD
RS-25,upright vacuum,vacuum-cleaner,"496,976","695,766",2,,,STL,RS-25,27.92,USD
RBT1,ROBOT MACHINE,vacuum-cleaner,"2,225,000","3,115,000",2,,,STL,RBT1,125,USD
RBT2,ROBOT MACHINE,vacuum-cleaner,"4,628,000","6,479,200",2,,,STL,RBT2,260,USD
ZYW/5.5,"Industrial vacuum cleaner 5,5Kw",vacuum-cleaner,"32,930","46,102",2,,,STL,ZYW/5.5,1.85,USD
CY70SC/3,Industrial vacuum cleaner 3Kw / 380V,vacuum-cleaner,"14,774,000","20,683,600",2,,,STL,CY70SC/3,830,USD
AC570,15L Wet/dry vacuum cleaner,vacuum-cleaner,"649,700","909,580",2,,,BYN,BF570,36.5,USD
AC575,30L Wet/dry vacuum cleaner,vacuum-cleaner,"709,152","992,813",2,,,BYN,BF575,39.84,USD
AC580,70L 2-Motor Wet/dry Vacuum Cleaner,vacuum-cleaner,"1,299,400","1,819,160",2,,,BYN,BF580,73,USD
B-039C,Hand-held tool bucket  Product size: 38.7 X 27.5 X 18 CM,janitorial,"20,470","28,658",2,Product Size: 38.7x27.5x18cm; Packing size: 56x40x53.5cm; Packing: 20pcs/CTN,,CB,B-039C,1.15,USD
B-041,TWIN BUCKET,janitorial,"55,180","77,252",2,Product Size: 46 X 35.5 X 26cm; Packing size: 73 X 46.5 X 51cm; Capacity: 22L; Packing: 12pcs/CTN,,CB,B-041,3.1,USD
B-043,Side-press double mop trolley,janitorial,"396,940","555,716",2,Product Size: 40x27x34cm; Packing size: 84x42x38cm; Capacity: 50L; Packing: 1pcs/CTN,,CB,B-043,22.3,USD
C-199,COTTON YAM PAD,janitorial,"163,760","229,264",2,Bailiang Polishing Steel Wire Mat; packing: 6pcs/CTN,,CB,C-199,9.2,USD
,,,,,,,,,,,
,,,,,,,,,,,
